match,taiwan_time,market,price,chance,note
加拿大 vs 摩洛哥,2026-07-05 01:00,摩洛哥 90 分鐘勝,0.99,0.985,摩洛哥方向 + 小球，但 1-1 平局風險高
加拿大 vs 摩洛哥,2026-07-05 01:00,90 分鐘平局,0.01,0.01,摩洛哥方向 + 小球，但 1-1 平局風險高
加拿大 vs 摩洛哥,2026-07-05 01:00,加拿大 90 分鐘勝,0.01,0.01,摩洛哥方向 + 小球，但 1-1 平局風險高
加拿大 vs 摩洛哥,2026-07-05 01:00,摩洛哥晉級,0.99,0.99,摩洛哥方向 + 小球，但 1-1 平局風險高
加拿大 vs 摩洛哥,2026-07-05 01:00,小 2.5 球,0.72,0.725,摩洛哥方向 + 小球，但 1-1 平局風險高
加拿大 vs 摩洛哥,2026-07-05 01:00,小 3.5 球,0.97,0.98,摩洛哥方向 + 小球，但 1-1 平局風險高
加拿大 vs 摩洛哥,2026-07-05 01:00,BTTS Yes,0.13,0.125,摩洛哥方向 + 小球，但 1-1 平局風險高
加拿大 vs 摩洛哥,2026-07-05 01:00,角球大 8.5,0.99,0.99,摩洛哥方向 + 小球，但 1-1 平局風險高
巴拉圭 vs 法國,2026-07-05 05:00,法國 90 分鐘勝,0.95,0.945,法國強熱門，盤口核心是勝出與讓球
巴拉圭 vs 法國,2026-07-05 05:00,90 分鐘平局,0.06,0.055,法國強熱門，盤口核心是勝出與讓球
巴拉圭 vs 法國,2026-07-05 05:00,巴拉圭 90 分鐘勝,0.01,0.01,法國強熱門，盤口核心是勝出與讓球
巴拉圭 vs 法國,2026-07-05 05:00,法國晉級,0.98,0.985,法國強熱門，盤口核心是勝出與讓球
巴拉圭 vs 法國,2026-07-05 05:00,法國 -1.5,0.24,0.19,法國強熱門，盤口核心是勝出與讓球
巴拉圭 vs 法國,2026-07-05 05:00,大 2.5 球,0.04,0.03,法國強熱門，盤口核心是勝出與讓球
巴拉圭 vs 法國,2026-07-05 05:00,BTTS No,0.9,0.92,法國強熱門，盤口核心是勝出與讓球
巴拉圭 vs 法國,2026-07-05 05:00,Mbappe 進球,0.99,0.99,法國強熱門，盤口核心是勝出與讓球
巴西 vs 挪威,2026-07-06 04:00,巴西 90 分鐘勝,0.55,0.545,巴西小熱門，但挪威進球風險不能忽略
巴西 vs 挪威,2026-07-06 04:00,90 分鐘平局,0.27,0.265,巴西小熱門，但挪威進球風險不能忽略
巴西 vs 挪威,2026-07-06 04:00,挪威 90 分鐘勝,0.21,0.205,巴西小熱門，但挪威進球風險不能忽略
巴西 vs 挪威,2026-07-06 04:00,巴西晉級,0.7,0.695,巴西小熱門，但挪威進球風險不能忽略
巴西 vs 挪威,2026-07-06 04:00,BTTS Yes,0.62,0.615,巴西小熱門，但挪威進球風險不能忽略
巴西 vs 挪威,2026-07-06 04:00,小 3.5 球,0.64,0.645,巴西小熱門，但挪威進球風險不能忽略
巴西 vs 挪威,2026-07-06 04:00,大 2.5 球,0.59,0.585,巴西小熱門，但挪威進球風險不能忽略
巴西 vs 挪威,2026-07-06 04:00,Haaland 進球,0.45,0.445,巴西小熱門，但挪威進球風險不能忽略
墨西哥 vs 英格蘭,2026-07-06 08:00,英格蘭 90 分鐘勝,0.4,0.395,英格蘭小熱門，但高原主場與低比分盤讓晉級路徑接近五五波
墨西哥 vs 英格蘭,2026-07-06 08:00,90 分鐘平局,0.31,0.305,英格蘭小熱門，但高原主場與低比分盤讓晉級路徑接近五五波
墨西哥 vs 英格蘭,2026-07-06 08:00,墨西哥 90 分鐘勝,0.31,0.305,英格蘭小熱門，但高原主場與低比分盤讓晉級路徑接近五五波
墨西哥 vs 英格蘭,2026-07-06 08:00,英格蘭晉級,0.54,0.545,英格蘭小熱門，但高原主場與低比分盤讓晉級路徑接近五五波
墨西哥 vs 英格蘭,2026-07-06 08:00,墨西哥晉級,0.46,0.455,英格蘭小熱門，但高原主場與低比分盤讓晉級路徑接近五五波
墨西哥 vs 英格蘭,2026-07-06 08:00,小 2.5 球,0.59,0.595,英格蘭小熱門，但高原主場與低比分盤讓晉級路徑接近五五波
墨西哥 vs 英格蘭,2026-07-06 08:00,小 3.5 球,0.8,0.805,英格蘭小熱門，但高原主場與低比分盤讓晉級路徑接近五五波
墨西哥 vs 英格蘭,2026-07-06 08:00,BTTS No,0.49,0.495,英格蘭小熱門，但高原主場與低比分盤讓晉級路徑接近五五波
墨西哥 vs 英格蘭,2026-07-06 08:00,Kane 進球,0.39,0.385,英格蘭小熱門，但高原主場與低比分盤讓晉級路徑接近五五波
